Time,Open,High,Low,Close,Volume
2024-06-11 14:45:00,157.061,157.11,157.049,157.099,1422
2024-06-11 15:00:00,157.099,157.11,156.97,157.046,1884
2024-06-11 15:15:00,157.046,157.075,156.972,157.016,1527
2024-06-11 15:30:00,157.017,157.017,156.852,156.917,2420
2024-06-11 15:45:00,156.917,156.937,156.804,156.89,1942
2024-06-11 16:00:00,156.89,156.985,156.89,156.965,1991
2024-06-11 16:15:00,156.965,157.068,156.961,157.065,1756
2024-06-11 16:30:00,157.071,157.122,157.009,157.086,1888
2024-06-11 16:45:00,157.085,157.162,157.039,157.137,1888
2024-06-11 17:00:00,157.139,157.236,157.103,157.236,1763
2024-06-11 17:15:00,157.235,157.24,157.171,157.215,1802
2024-06-11 17:30:00,157.216,157.26,157.194,157.252,1463
2024-06-11 17:45:00,157.253,157.335,157.225,157.318,1903
2024-06-11 18:00:00,157.317,157.385,157.306,157.35,1690
2024-06-11 18:15:00,157.35,157.35,157.251,157.281,1407
2024-06-11 18:30:00,157.281,157.354,157.276,157.339,1065
2024-06-11 18:45:00,157.337,157.364,157.324,157.324,857
2024-06-11 19:00:00,157.318,157.345,157.297,157.339,974
2024-06-11 19:15:00,157.339,157.402,157.33,157.361,1110
2024-06-11 19:30:00,157.361,157.367,157.326,157.355,844
2024-06-11 19:45:00,157.354,157.386,157.352,157.381,850
2024-06-11 20:00:00,157.38,157.381,157.158,157.227,1710
2024-06-11 20:15:00,157.229,157.242,157.197,157.207,1029
2024-06-11 20:30:00,157.207,157.236,157.195,157.207,813
2024-06-11 20:45:00,157.207,157.209,157.1,157.119,1131
2024-06-11 21:00:00,157.118,157.129,157.069,157.083,1315
2024-06-11 21:15:00,157.083,157.087,157.051,157.06,852
2024-06-11 21:30:00,157.06,157.076,157.045,157.052,829
2024-06-11 21:45:00,157.052,157.053,157.014,157.015,936
2024-06-11 22:00:00,157.016,157.021,156.949,156.955,771
2024-06-11 22:15:00,156.955,156.973,156.933,156.962,790
2024-06-11 22:30:00,156.961,157.064,156.96,157.062,1178
2024-06-11 22:45:00,157.062,157.087,157.029,157.086,1033
2024-06-11 23:00:00,157.086,157.111,157.071,157.108,423
2024-06-11 23:15:00,157.109,157.114,157.088,157.097,320
2024-06-11 23:30:00,157.097,157.148,157.094,157.128,426
2024-06-11 23:45:00,157.127,157.132,157.118,157.123,240
2024-06-12 00:00:00,157.078,157.103,157.048,157.092,88
2024-06-12 00:15:00,157.092,157.094,157.071,157.071,94
2024-06-12 00:30:00,157.071,157.129,157.071,157.095,294
2024-06-12 00:45:00,157.097,157.118,157.093,157.11,429
2024-06-12 01:00:00,157.11,157.119,157.07,157.113,309
2024-06-12 01:15:00,157.111,157.111,157.1,157.11,119
2024-06-12 01:30:00,157.11,157.133,157.109,157.121,192
2024-06-12 01:45:00,157.119,157.155,157.119,157.141,137
2024-06-12 02:00:00,157.142,157.173,157.13,157.172,162
2024-06-12 02:15:00,157.173,157.177,157.155,157.156,147
2024-06-12 02:30:00,157.158,157.168,157.12,157.122,117
2024-06-12 02:45:00,157.121,157.121,157.053,157.113,914
2024-06-12 03:00:00,157.109,157.209,157.102,157.192,947
2024-06-12 03:15:00,157.192,157.205,157.112,157.117,790
2024-06-12 03:30:00,157.116,157.195,157.066,157.194,976
2024-06-12 03:45:00,157.194,157.217,157.083,157.18,1510
2024-06-12 04:00:00,157.179,157.243,157.113,157.13,1024
2024-06-12 04:15:00,157.13,157.164,157.104,157.134,943
2024-06-12 04:30:00,157.132,157.135,157.045,157.124,1019
2024-06-12 04:45:00,157.123,157.139,157.049,157.137,931
2024-06-12 05:00:00,157.137,157.169,157.132,157.142,656
2024-06-12 05:15:00,157.143,157.151,157.094,157.132,617
2024-06-12 05:30:00,157.131,157.174,157.131,157.159,631
2024-06-12 05:45:00,157.159,157.189,157.153,157.185,555
2024-06-12 06:00:00,157.186,157.21,157.162,157.192,620
2024-06-12 06:15:00,157.191,157.207,157.172,157.201,640
2024-06-12 06:30:00,157.2,157.213,157.177,157.196,741
